발생시각,규모,깊이(km),위도,경도,발생일,p_arrival_utc,s_arrival_utc
2017-11-21 23:41:56,1.4,10.0,36.12,129.36,2017-11-21,2017-11-21 14:42:00.693779482+00:00,2017-11-21 14:42:02.794543471+00:00
2017-11-21 21:22:17,1.5,10.0,36.08,129.32,2017-11-21,2017-11-21 12:22:21.426885790+00:00,2017-11-21 12:22:23.505491362+00:00
2017-11-21 20:46:25,1.6,12.0,36.07,129.33,2017-11-21,2017-11-21 11:46:29.776418439+00:00,2017-11-21 11:46:32.218832418+00:00
2017-11-21 19:46:21,1.6,6.0,36.14,129.36,2017-11-21,2017-11-21 10:46:25.402951607+00:00,2017-11-21 10:46:26.737410298+00:00
2017-11-21 16:14:23,1.3,7.0,36.14,129.37,2017-11-21,2017-11-21 07:14:27.592918087+00:00,2017-11-21 07:14:29.132107523+00:00
2017-11-21 09:53:01,2.4,,36.11,129.33,2017-11-21,,
2017-11-21 09:28:52,0.8,10.0,36.1,129.34,2017-11-21,2017-11-21 00:28:56.535695934+00:00,2017-11-21 00:28:58.623987345+00:00
2017-11-21 08:57:29,2.1,9.0,36.09,129.34,2017-11-21,2017-11-20 23:57:33.543617165+00:00,2017-11-20 23:57:35.456505782+00:00
2017-11-21 05:58:34,2.0,13.0,36.09,129.35,2017-11-21,2017-11-20 20:58:38.947541517+00:00,2017-11-20 20:58:41.567280682+00:00
2017-11-21 03:27:43,1.2,10.0,36.11,129.35,2017-11-21,2017-11-20 18:27:47.608859384+00:00,2017-11-20 18:27:49.703041347+00:00
2017-11-21 02:17:25,1.4,9.0,36.12,129.37,2017-11-21,2017-11-20 17:17:29.774413671+00:00,2017-11-20 17:17:31.701449976+00:00
2017-11-21 01:15:27,1.5,9.0,36.11,129.36,2017-11-21,2017-11-20 16:15:31.685853473+00:00,2017-11-20 16:15:33.607639108+00:00
2017-11-20 22:45:42,1.5,9.0,36.09,129.34,2017-11-20,2017-11-20 13:45:46.543617165+00:00,2017-11-20 13:45:48.456505782+00:00
2017-11-20 14:25:02,1.0,10.0,36.08,129.33,2017-11-20,2017-11-20 05:25:06.553190332+00:00,2017-11-20 05:25:08.642909417+00:00
2017-11-20 11:37:24,1.4,9.0,36.13,129.38,2017-11-20,2017-11-20 02:37:28.873781941+00:00,2017-11-20 02:37:30.806465895+00:00
2017-11-20 11:25:21,1.4,6.0,36.12,129.37,2017-11-20,2017-11-20 02:25:25.633243529+00:00,2017-11-20 02:25:26.974092380+00:00
2017-11-20 11:06:27,1.9,9.0,36.09,129.35,2017-11-20,2017-11-20 02:06:31.677015378+00:00,2017-11-20 02:06:33.598265231+00:00
2017-11-20 07:37:45,1.7,10.0,36.11,129.36,2017-11-20,2017-11-19 22:37:49.745413966+00:00,2017-11-19 22:37:51.850053+00:00
2017-11-20 07:15:55,1.4,12.0,36.12,129.38,2017-11-20,2017-11-19 22:16:00.102025404+00:00,2017-11-19 22:16:02.578310835+00:00
2017-11-20 06:41:19,1.9,10.0,36.12,129.35,2017-11-20,2017-11-19 21:41:23.555695258+00:00,2017-11-19 21:41:25.645617764+00:00
2017-11-20 06:13:36,1.0,9.0,36.14,129.38,2017-11-20,2017-11-19 21:13:40.838672559+00:00,2017-11-19 21:13:42.769389481+00:00
2017-11-20 06:05:15,3.6,12.0,36.14,129.36,2017-11-20,2017-11-19 21:05:19.751755627+00:00,2017-11-19 21:05:22.191427025+00:00
2017-11-20 05:31:28,1.2,,36.1,129.34,2017-11-20,,
2017-11-20 03:59:02,1.5,5.0,36.11,129.36,2017-11-20,2017-11-19 18:59:06.506087961+00:00,2017-11-19 18:59:07.637790377+00:00
2017-11-20 03:57:53,1.7,5.0,36.11,129.36,2017-11-20,2017-11-19 18:57:57.506087961+00:00,2017-11-19 18:57:58.637790377+00:00
2017-11-20 03:25:31,1.0,,36.1,129.35,2017-11-20,,
